ds,y,metric,instance
2025-08-13 11:07:00+00:00,0.0,container_network_receive_packets_total,cadvisor-02.u-cloudsolutions.xyz
2025-08-13 11:08:00+00:00,0.0243678299117296,container_network_receive_packets_total,cadvisor-02.u-cloudsolutions.xyz
2025-08-13 11:09:00+00:00,0.0234873586466856,container_network_receive_packets_total,cadvisor-02.u-cloudsolutions.xyz
2025-08-13 11:10:00+00:00,0.0235984848484848,container_network_receive_packets_total,cadvisor-02.u-cloudsolutions.xyz
2025-08-13 11:11:00+00:00,0.0235416666666666,container_network_receive_packets_total,cadvisor-02.u-cloudsolutions.xyz
2025-08-13 11:12:00+00:00,0.0237298555724192,container_network_receive_packets_total,cadvisor-02.u-cloudsolutions.xyz
2025-08-13 11:13:00+00:00,0.0,container_network_receive_packets_total,cadvisor-02.u-cloudsolutions.xyz
2025-08-13 11:14:00+00:00,0.0,container_network_receive_packets_total,cadvisor-02.u-cloudsolutions.xyz
2025-08-13 11:15:00+00:00,0.0,container_network_receive_packets_total,cadvisor-02.u-cloudsolutions.xyz
2025-08-13 11:16:00+00:00,0.0,container_network_receive_packets_total,cadvisor-02.u-cloudsolutions.xyz
2025-08-13 11:17:00+00:00,0.0,container_network_receive_packets_total,cadvisor-02.u-cloudsolutions.xyz
